,movie_id,Title,plot
0,274604,Kannukkul Nilavu,"gautham, a man with special needs, comes to pondicherry. hema, a carefree woman, befriends him and with the help of her father, who is a psychologist, unravels his horrific past life. fazil drama  mystery  romance"
1,8052464,Thirunelveli,the story of a caring brother who makes sacrifices to ensure his three younger brothers succeed in life. bharathikannan drama
2,8954404,Eazhaiyin Sirippil,"kousalya slowly falls for ganesan, a bus driver, working for her father. however, she is shocked when a woman with special needs accuses ganesan of destroying her life. k.subash drama"
3,233222,Annai,annai is a tamil emotional family drama movie. banumathi and ranga rao are married and don't have any kids. banumathi requests her sister sowcar janaki who is poor to give them their child. sowcar janaki agrees for it. she meets her kid after long time and misses him a lot. manobala drama
4,222012,Hey Ram,saketh ram's wife is raped and killed during direct action day riots in calcutta. he is convinced that mahatma gandhi is responsible for all the problems happening in the country and sets out to kill him. kamalhaasan crime  drama  history
5,1505127,Sudhandhiram,"after the passing away of their widower freedom fighter father, raghu looks after the financial affairs of a hoodlum and extortionist, sopraj. raghu's brother, vishwa, also works for sopraj by fixing matches, as well as participates in daredevil stunts and boxing bouts. both brothers will soon be thrown into conflict with each other after vishwa agrees to testify against sopraj for killing a man named vikram, the brother of his sweetheart, divya. during this course, vishwa will also find out the truth about their deceased father, and the amount of influence sopraj has over raghu - who will leave no stone unturned in order to compel vishwa from going against their employer.—rajoo (gunwanti@hotmail.com) rajkapoor action  crime  drama"
6,12160082,Thai Poranthachu,"an aspiring music director, trying to realize his dream for over eight years, sacrifices his love for his ambition, but faces a tricky situation when his brother's health deteriorates and his family is at risk financially. r.k.kalaimani comedy"
7,14814194,Sandhitha Velai,"aadalarasu (karthik) is an unemployed youth looking for a job. he is constantly mocked for this by his father, gurumoorthy (vijayakumar), while his mother (sujatha) comes to his support. while in madras for a job interview, he stays with his father's friend sivaraman (moulee). aadalarasu has run-ins with sivaraman's daughter thilaka (roja) and she develops a dislike for him. however, she bows to her father's wishes and weds aadalarasu. just when she starts liking him, he has to travel again. in the train, he meets thirunaavukkarasu (karthik again), who asks him for a favour. instead of the usual comedy, the mistaken identity is then played for sentiment. with thirunaavukkarasu dying and being mistaken for aadalarasu, aadalarasu's family think that he is dead while he takes thirunaavukkarasu's place and helps them, but he has to do so without arousing the suspicions of his wife akalya (kausalya) and the rest of his family. ravichandran drama"
8,4516596,Vallarasu,"vallarasu is the honest deputy commissioner of police who arrests wasim khan, a terrorist from pakistan. his family comprises of his wife anjali and two children. when vallarasu comes to know that his father in law is a traitor, he kills him. when anjali realizes this, she leaves vallarasu. vallarasu fights r. kandaswamy, a business tycoon, who supports and finances wasim khan's terrorist plot.—soumitra n.maharajan action  thriller"
9,6757804,James Pandu,"two porters cum ex-friends, who have a fall out because of their love interests, have to rob the same person. the man, who gave them the job, is trying to scam both of them and take the money without being involved. selva comedy"
